"","Object","Ch1.mean","Ch2_d1.mean","Ch3_d1.mean","Ch4_d1.mean","Ch5_d1.mean","Ch6_d1.mean","Ch7_d1.mean","Ch1..pixels","Ch1.sum","Ch1.max","Ch1.SD","Ch1.AR","Ch1.F_min","Ch1.F_max","Ch1.mean_th","Ch1.mean_sq","Ch1_d0.mean","Ch1_d0.sum","Ch1_d0.max","Ch1_d0.SD","Ch1_d0.mean_th","Ch1_d0.mean_sq"
"15066","Disease A",53,3,2,1,1,2,0,37,1961,77,9.055385138,1.738264006,2.762044555,4.801162634,61,3721,53,1961,77,49.89123305,61,2809
"6625","Normal",33,1,1,0,0,3,0,127,4219,41,3.43557122,1.346207923,4.034929007,5.431853399,33,1089,33,4219,41,31.18789893,33,1089
"23562","Disease A",61,2,4,2,0,35,6,144,8927,114,16.96872122,2.209149783,2.678435396,5.917064976,80,6400,61,8927,114,52.96172622,80,3721
"21152","Disease A",59,3,3,1,0,12,1,290,17265,112,16.83622941,2.248604694,2.205192815,4.958606913,68,4624,59,17265,112,53.94150727,68,3481
"18007","Disease A",53,3,2,1,1,2,0,31,1671,77,10.46037068,1.434258546,3,4.302775638,61,3721,53,1671,77,45.50965867,61,2809
"14586","Normal",31,2,1,0,0,5,0,289,9182,45,3.724045127,1.613900321,2.912150807,4.699921123,32,1024,31,9182,45,28.43355637,32,961
"5742","Normal",34,3,3,0,0,3,0,142,4875,47,3.965520409,1.645207893,3.611176661,5.941136346,37,1369,34,4875,47,31.41610783,37,1156
"22873","Disease A",86,9,3,1,1,8,1,109,9448,200,42.72356203,1.72836026,5.796302643,10.01809914,169,28561,86,9448,200,89.24057784,169,7396
"8953","Normal",54,2,2,0,0,4,0,55,2971,83,14.59078165,1.43695492,6.959160557,10,76,5776,54,2971,83,51.77609136,76,2916
"29116","Disease A",59,4,1,0,0,2,0,37,2201,82,14.32631297,2.370064349,4.405073016,10.44030651,76,5776,59,2201,82,56.85757455,76,3481
"14673","Normal",41,26,0,0,0,1,0,362,15157,79,11.58919291,3.202321185,2.281566617,7.306309115,49,2401,41,15157,79,36.33111994,49,1681
"9748","Normal",38,4,6,0,0,2,0,532,20375,62,8.604837772,1.351018168,4.371188231,5.905554716,41,1681,38,20375,62,35.9347257,41,1444
"24972","Disease A",68,7,4,2,2,2,0,122,8416,132,19.20211737,1.499597139,11.66503671,17.49285568,115,13225,68,8416,132,67.35013722,115,4624
"9194","Normal",34,2,2,0,0,3,0,70,2433,43,4.457738055,2.032978508,7.162013628,14.56021978,39,1521,34,2433,43,33.05125889,39,1156
"26255","Disease A",52,3,2,1,1,2,0,93,4887,89,11.69826749,2.345498375,2.013900562,4.723600495,59,3481,52,4887,89,43.41547219,59,2704
"7502","Normal",35,4,2,0,0,8,0,172,6168,55,6.021762857,1.279047515,4.616507369,5.904732277,38,1444,35,6168,55,32.53111212,38,1225
"28706","Disease A",49,6,1,0,1,1,0,25,1242,63,6.951258879,2.176448904,1.401822089,3.050994148,53,2809,49,1242,63,44.5030336,53,2401
"2110","Normal",42,5,7,0,0,7,0,537,23062,88,12.29737069,1.736579394,3.561675655,6.185132552,50,2500,42,23062,88,37.49289194,50,1764
"3451","Normal",34,3,5,0,0,4,0,34,1187,43,4.865847366,1.576862156,2.241120495,3.533938097,37,1369,34,1187,43,31.8632187,37,1156
"3909","Normal",34,3,3,0,0,4,0,134,4630,49,5.152162276,2.676409465,5.309880171,14.21141355,38,1444,34,4630,49,32.82574981,38,1156
"4892","Normal",34,10,1,0,0,7,0,828,28436,49,4.923815731,1.967823755,3.954090679,7.78095357,35,1225,34,28436,49,32.90285438,35,1156
"629","Normal",51,11,3,0,0,7,0,82,4183,79,13.60819337,1.593724551,3.938758801,6.277296603,54,2916,51,4183,79,42.1982834,54,2601
"23869","Disease A",63,2,1,0,0,1,0,115,7282,109,17.32778618,1.908263501,3.076638388,5.871036741,76,5776,63,7282,109,54.24325244,76,3969
